"Trans #"	"Date"	"Cleared"	"Name"	"Memo"	"Account"	"Debit"	"Credit"
296	05/07/2010	"*"	"Walmart"	"oil and filter for acura"	"Assets:ISU Checking"		34.42
			"Walmart"	"oil and filter for acura"	"Expenses:Transportation:Maintenance"	34.42	
297	05/06/2010	"*"	"Dollar Tree"		"Assets:ISU Checking"		4.24
			"Dollar Tree"		"Expenses:Home:Office Supplies"	4.24	
298	05/07/2010	"*"	"Walmart"		"Assets:ISU Checking"		5.62
			"Walmart"	"eyelash curler and microwave cover"	"Expenses:Home:Housewares"	5.62	
299	04/30/2010		"Robert Carlsen"		"Income:Job Income"		220.00
			"Robert Carlsen"		"Assets:ISU Checking"	220.00	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	0.00	
			"Big Brother"		"Expenses:Taxes:Social Security"	0.00	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		22.00
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	22.00	
300	05/10/2010	"*"	"Idaho Expenses:Taxes:State University"	"esther summer classes"	"Assets:ISU Checking"		1,017.00
			"Idaho Expenses:Taxes:State University"	"esther summer classes"	"Expenses:Education:Tuition"	1,017.00	
301	05/06/2010	"*"	"Newegg.com"	"printer toner ink cartridge"	"Assets:ISU Checking"		46.49
			"Newegg.com"	"printer toner ink cartridge"	"Expenses:Home:Office Supplies"	46.49	
302	05/28/2010	"*"	"Gary Carlsen"	"june rent"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"june rent"	"Expenses:Housing:Rent"	425.00	
303	05/28/2010	"*"	"Brett Carlsen"	"june phones"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"june phones"	"Expenses:Housing:Utilities"	40.00	
304	05/13/2010	"*"	"Amazon.com"	"esther textbook"	"Assets:ISU Checking"		67.60
			"Amazon.com"	"esther textbook"	"Expenses:Education:Books and Fees"	67.60	
305	05/11/2010	"*"	"half.com"	"esther textbook"	"Assets:ISU Checking"		27.12
			"half.com"	"esther textbook"	"Expenses:Education:Books and Fees"	27.12	
306	04/26/2010	"*"	"Idaho Expenses:Taxes:State University"	"official transcript"	"Assets:ISU Checking"		10.00
			"Idaho Expenses:Taxes:State University"	"official transcript"	"Expenses:Education:Other"	10.00	
307	04/30/2010			"Interest"	"Assets:ISU Savings"	0.42	
				"Interest"	"Income:Interest Received"		0.42
308	04/30/2010	"*"		"Interest"	"Assets:ISU Checking"	50.86	
				"Interest"	"Income:Interest Received"		50.86
309	05/18/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.78
			"Walmart"		"Expenses:Consumables:Food"	1.78	
310	05/29/2010	"*"	"Smith's"		"Assets:ISU Checking"		3.73
			"Smith's"		"Expenses:Consumables:Food"	3.73	
311	05/29/2010	"*"	"Walmart"		"Assets:ISU Checking"		8.41
			"Walmart"		"Expenses:Consumables:Food"	8.41	
312	05/15/2010	"*"	"Albertsons"	"earplugs"	"Assets:ISU Checking"		1.95
			"Albertsons"	"earplugs"	"Expenses:Home:Office Supplies"	1.95	
313	06/02/2010	"*"	"Town and Country Gardens"	"gopher poison"	"Assets:ISU Checking"		15.89
			"Town and Country Gardens"	"gopher poison"	"Expenses:Home:Other"	15.89	
314	06/11/2010	"*"	"KMart"	"baby and mom stuff"	"Assets:ISU Checking"		25.46
			"KMart"	"baby and mom stuff"	"Expenses:Consumables:Other"	25.46	
315	05/27/2010	"*"	"KMart"	"seeds and outdoor thermometer"	"Assets:ISU Checking"		6.26
			"KMart"	"seeds and outdoor thermometer"	"Expenses:Home:Other"	6.26	
316	05/12/2010	"*"	"Walmart"		"Assets:ISU Checking"		40.74
			"Walmart"		"Expenses:Consumables:Food"	18.18	
			"Walmart"	"dish soap, toilet paper"	"Expenses:Consumables:Other"	17.28	
			"Walmart"	"exchanged wrong item for cash and rebought"	"Expenses:Bananas"	5.28	
317	05/30/2010			"book shipping stuff"	"Expenses:Education:Books and Fees"	2.12	
				"book shipping stuff"	"Expenses:Education:Books and Fees"	1.69	
				"book shipping"	"Expenses:Education:Books and Fees"	23.46	
				"shipping books sold online"	"Assets:ISU Checking"		24.50
				"sold textbooks on amazon"	"Expenses:Education:Books and Fees"		160.89
				"sold textbooks on amazon"	"Assets:ISU Checking"	160.89	
				"book shipping"	"Assets:ISU Checking"		2.77
318	06/25/2010	"*"	"Brett Carlsen"	"July phones"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"July phones"	"Expenses:Housing:Utilities"	40.00	
319	06/25/2010	"*"	"Gary Carlsen"	"July rent"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"July rent"	"Expenses:Housing:Rent"	425.00	
320	05/31/2010			"Interest"	"Assets:ISU Savings"	0.43	
				"Interest"	"Income:Interest Received"		0.43
321	05/31/2010	"*"		"Interest"	"Assets:ISU Checking"	49.66	
				"Interest"	"Income:Interest Received"		49.66
322	08/11/2010	"*"	"Chase Bank"	"credit card payment"	"Assets:ISU Checking"		116.76
			"Chase Bank"	"credit card payment"	"Expenses:Transportation:Gas"	116.76	
323	07/22/2010	"*"	"Walgreens"		"Assets:ISU Checking"		6.36
			"Walgreens"	"diapers"	"Expenses:Consumables:Other"	6.36	
324	07/22/2010	"*"	"Costco"		"Assets:ISU Checking"		6.99
			"Costco"	"cheese"	"Expenses:Consumables:Food"	6.99	
325	07/22/2010	"*"	"Walmart"		"Assets:ISU Checking"		2.87
			"Walmart"		"Expenses:Consumables:Food"	2.87	
326	07/10/2010	"*"	"WinCo"		"Assets:ISU Checking"		5.66
			"WinCo"		"Expenses:Consumables:Food"	5.66	
327	07/15/2010	"*"	"Walmart"		"Assets:ISU Checking"		5.96
			"Walmart"		"Expenses:Consumables:Food"	5.96	
328	07/15/2010	"*"	"Walmart"		"Assets:ISU Checking"		3.65
			"Walmart"		"Expenses:Consumables:Food"	3.65	
329	07/15/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.71
			"Walmart"		"Expenses:Consumables:Food"	1.71	
330	07/07/2010	"*"	"Walgreens"		"Assets:ISU Checking"		11.77
			"Walgreens"	"diapers & ointment"	"Expenses:Consumables:Other"	11.77	
331	06/25/2010	"*"	"Walmart"		"Assets:ISU Checking"		40.94
			"Walmart"		"Expenses:Consumables:Food"	32.28	
			"Walmart"		"Expenses:Consumables:Other"	8.66	
332	06/25/2010	"*"	"Walmart"		"Assets:ISU Checking"		27.95
			"Walmart"		"Expenses:Consumables:Food"	19.45	
			"Walmart"		"Expenses:Consumables:Other"	8.50	
333	06/25/2010	"*"	"Walmart"		"Assets:ISU Checking"		11.16
			"Walmart"		"Expenses:Consumables:Food"	11.16	
334	06/30/2010	"*"	"Walmart"		"Assets:ISU Checking"		6.33
			"Walmart"		"Expenses:Consumables:Food"	6.33	
335	06/30/2010	"*"	"Walmart"		"Assets:ISU Checking"		0.38
			"Walmart"		"Expenses:Consumables:Food"	0.38	
336	06/30/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.98
			"Walmart"		"Expenses:Consumables:Food"	1.98	
337	06/30/2010	"*"	"Walmart"		"Assets:ISU Checking"		2.12
			"Walmart"		"Expenses:Consumables:Food"	2.12	
338	06/18/2010	"*"		"Deposit"	"Assets:ISU Checking"	15.00	
			"miscellaneous"	"baby shower gift"	"Income:Uncategorized Income"		15.00
339	06/18/2010	"*"	"Butterburr's"		"Assets:ISU Checking"		7.41
			"Butterburr's"	"dinner w/Becky"	"Expenses:Recreation"	7.41	
340	07/02/2010		"Esther Carlsen"		"Income:Job Income"		259.00
			"Esther Carlsen"		"Assets:ISU Checking"	239.18	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	19.82	
			"Big Brother"		"Expenses:Taxes:Social Security"	0.00	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		23.92
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	23.92	
341	06/18/2010		"Robert Carlsen"		"Income:Job Income"		375.06
			"Robert Carlsen"		"Assets:ISU Checking"	346.37	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	5.44	
			"Big Brother"		"Expenses:Taxes:Social Security"	23.25	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		34.64
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	34.64	
342	06/25/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.82	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.01	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		46.18
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.18	
343	07/02/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.83	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.00	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		46.18
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.18	
344	07/09/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.82	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	31.01	
			"Big Brother"		"Expenses:Taxes:Social Security"	7.25	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		46.18
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.18	
345	07/15/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.83	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.00	
			"Church of Jesus Christ of Latter Day Sain"	"tithing"	"Liabilities:Accounts Payable"		46.18
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.18	
346	07/22/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.82	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.01	
			"Church of Jesus Christ of Latter Day Sain"	"tithing"	"Liabilities:Accounts Payable"		46.19
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.19	
347	07/23/2010	"*"	"Brett Carlsen"	"August phones"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"August phones"	"Expenses:Housing:Utilities"	40.00	
348	07/23/2010	"*"	"Gary Carlsen"	"Rent payment August"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"August Rent payment"	"Expenses:Housing:Rent"	425.00	
349	07/20/2010	"*"	"Farmer's Insurance"	"6 month premium"	"Assets:ISU Checking"		336.20
			"Farmer's Insurance"	"6 month premium"	"Expenses:Transportation:Car Insurance"	336.20	
350	07/11/2010	"*"	"Chase Bank"	"credit card payment"	"Assets:ISU Checking"		106.18
			"Chase Bank"	"credit card payment"	"Expenses:Transportation:Gas"	106.18	
351	06/28/2010			"selling book online"	"Expenses:Education:Books and Fees"		23.75
				"selling book online"	"Assets:ISU Checking"	23.75	
				"selling book online"	"Expenses:Education:Books and Fees"		5.28
				"selling book online"	"Assets:ISU Checking"	5.28	
352	07/22/2010	"*"	"half.com"	"textbook: Robert"	"Assets:ISU Checking"		178.29
			"half.com"	"textbook: Robert"	"Expenses:Education:Books and Fees"	178.29	
353	07/22/2010	"*"	"Educational Testing Service"	"Robert GRE"	"Assets:ISU Checking"		160.00
			"Educational Testing Service"	"Robert GRE"	"Expenses:Education:Other"	160.00	
354	07/20/2010	"*"	"Amazon.com"	"textbook: Robert"	"Assets:ISU Checking"		144.94
			"Amazon.com"	"textbook: Robert"	"Expenses:Education:Books and Fees"	144.94	
355	07/15/2010	"*"	"Amazon.com"	"textbook: Robert"	"Assets:ISU Checking"		130.17
			"Amazon.com"	"textbook: Robert"	"Expenses:Education:Books and Fees"	130.17	
356	06/30/2010			"Interest"	"Assets:ISU Savings"	0.42	
				"Interest"	"Income:Interest Received"		0.42
357	06/14/2010	"*"	"Chase Bank"	"credit card payment"	"Assets:ISU Checking"		108.10
			"Chase Bank"	"credit card payment"	"Expenses:Transportation:Gas"	108.10	
358	06/30/2010	"*"		"Interest"	"Assets:ISU Checking"	2.37	
				"Interest"	"Income:Interest Received"		2.37
359	07/23/2010	"*"	"Church of Jesus Christ of Latter Day Sain"		"Assets:ISU Checking"		387.37
			"Church of Jesus Christ of Latter Day Sain"		"Liabilities:Accounts Payable"	387.37	
360	07/25/2010	"*"	"Church of Jesus Christ of Latter Day Sain"	"fast offering"	"Assets:ISU Checking"		37.63
			"Church of Jesus Christ of Latter Day Sain"	"fast offering"	"Expenses:Donations:Other"	37.63	
361	08/07/2010	"*"	"Walmart"	"India's gift"	"Assets:ISU Checking"		5.83
			"Walmart"	"India's bridal shower gift"	"Expenses:Uncategorized Expense"	5.83	
362	08/17/2010	"*"	"Costco"		"Assets:ISU Checking"		18.61
			"Costco"		"Expenses:Consumables:Food"	18.61	
363	08/16/2010	"*"	"Smith's"		"Assets:ISU Checking"		1.79
			"Smith's"		"Expenses:Consumables:Food"	1.79	
364	07/24/2010	"*"	"Walmart"		"Assets:ISU Checking"		3.03
			"Walmart"		"Expenses:Consumables:Food"	3.03	
365	07/24/2010	"*"	"Walmart"		"Assets:ISU Checking"		6.87
			"Walmart"		"Expenses:Consumables:Other"	6.87	
366	08/02/2010	"*"	"Walmart"		"Assets:ISU Checking"		5.98
			"Walmart"		"Expenses:Consumables:Food"	5.98	
367	07/24/2010	"*"	"KMart"		"Assets:ISU Checking"		7.41
			"KMart"		"Expenses:Consumables:Other"	7.41	
368	08/07/2010	"*"	"Walgreens"		"Assets:ISU Checking"		0.65
			"Walgreens"		"Expenses:Consumables:Food"	0.65	
369	08/06/2010	"*"	"Walgreens"		"Assets:ISU Checking"		5.88
			"Walgreens"	"nylons"	"Expenses:Home:Clothing"	1.57	
			"Walgreens"		"Expenses:Consumables:Food"	4.31	
370	08/06/2010	"*"	"Walgreens"		"Assets:ISU Checking"		4.30
			"Walgreens"		"Expenses:Consumables:Food"	4.30	
371	08/02/2010	"*"	"Walmart"		"Assets:ISU Checking"		4.87
			"Walmart"		"Expenses:Consumables:Food"	4.87	
372	08/02/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.76
			"Walmart"		"Expenses:Consumables:Food"	1.76	
373	08/02/2010	"*"	"Walmart"		"Assets:ISU Checking"		3.87
			"Walmart"		"Expenses:Consumables:Food"	3.87	
374	08/06/2010	"*"	"Fred Meyer"		"Assets:ISU Checking"		6.86
			"Fred Meyer"		"Expenses:Consumables:Other"	6.86	
375	08/19/2010	"*"	"Dillard's"	"Esther's Dress"	"Assets:ISU Checking"		21.94
			"Dillard's"	"Esther's dress"	"Expenses:Home:Clothing"	21.94	
376	07/29/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.82	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.01	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		46.18
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.18	
377	08/05/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.82	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.01	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		46.19
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.19	
378	08/12/2010		"Robert Carlsen"		"Income:Job Income"		250.04
			"Robert Carlsen"		"Assets:ISU Checking"	230.92	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	3.62	
			"Big Brother"		"Expenses:Taxes:Social Security"	15.50	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		23.10
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	23.10	
379	08/04/2010	"*"	"half.com"	"Robert textbook"	"Assets:ISU Checking"		113.99
			"half.com"	"Robert textbook"	"Expenses:Education:Books and Fees"	113.99	
380	08/11/2010	"*"	"Blue Cross of Idaho"	"Insurance"	"Assets:ISU Checking"		115.42
			"Blue Cross of Idaho"	"Insurance"	"Expenses:Medical:Insurance Payment"	115.42	
381	08/23/2010	"*"	"Brett Carlsen"	"September phones"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"September phones"	"Expenses:Housing:Utilities"	40.00	
382	08/23/2010	"*"	"Gary Carlsen"	"Rent payment (September)"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	" Rent Payment (September)"	"Expenses:Housing:Rent"	425.00	
383	07/31/2010			"Interest"	"Assets:ISU Savings"	0.33	
				"Interest"	"Income:Interest Received"		0.33
384	07/03/2010	"*"	"Stokes"		"Assets:ISU Checking"		7.03
			"Stokes"		"Expenses:Consumables:Food"	7.03	
385	07/31/2010	"*"		"Interest"	"Assets:ISU Checking"	50.79	
				"Interest"	"Income:Interest Received"		50.79
386	08/19/2010			"pell grant robert"	"Income:Scholarships and Grants"		2,775.00
				"pell grant esther"	"Income:Scholarships and Grants"		2,775.00
				"educational opportunity grant robert"	"Income:Scholarships and Grants"		300.00
				"educational opportunity grant esther"	"Income:Scholarships and Grants"		300.00
				"presidential scholarship robert"	"Income:Scholarships and Grants"		2,708.00
				"jacobsen scholarship robert"	"Income:Scholarships and Grants"		500.00
				"jacobsen scholarship esther"	"Income:Scholarships and Grants"		800.00
				"zonta scholarship esther"	"Income:Scholarships and Grants"		1,500.00
				"asisu scholarship esther"	"Income:Scholarships and Grants"		500.00
				"robert"	"Expenses:Education:Tuition"	2,708.00	
				"esther"	"Expenses:Education:Tuition"	2,708.00	
				"computing fee"	"Expenses:Education:Books and Fees"	35.00	
				"esther class fees"	"Expenses:Education:Books and Fees"	175.00	
				"esther fin aid refund"	"Assets:ISU Checking"	2,992.00	
				"robert fin aid refund"	"Assets:ISU Checking"	3,540.00	
			"Church of Jesus Christ of Latter Day Sain"	"grant Tithing"	"Liabilities:Accounts Payable"		555.00
				"grant Tithing"	"Expenses:Donations:Tithing"	555.00	
387	09/18/2010	"*"	"Smith's"		"Assets:ISU Checking"		1.79
			"Smith's"		"Expenses:Consumables:Food"	1.79	
388	10/16/2010	"*"	"Idaho Mountain Trading"	"Esther's coat"	"Assets:ISU Checking"		121.90
			"Idaho Mountain Trading"	"Esther's coat"	"Expenses:Home:Clothing"	121.90	
389	10/08/2010	"*"	"Albertsons"		"Assets:ISU Checking"		5.29
			"Albertsons"		"Expenses:Consumables:Food"	5.29	
390	10/06/2010	"*"	"Smith's"		"Assets:ISU Checking"		7.97
			"Smith's"		"Expenses:Consumables:Food"	7.97	
391	09/01/2010	"*"	"Walmart"		"Assets:ISU Checking"		6.43
			"Walmart"		"Expenses:Consumables:Food"	6.43	
392	09/14/2010	"*"	"Delmonte Meats"		"Assets:ISU Checking"		26.49
			"Delmonte Meats"		"Expenses:Consumables:Food"	26.49	
393	09/11/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.78
			"Walmart"		"Expenses:Consumables:Food"	1.78	
394	09/11/2010	"*"	"Walmart"		"Assets:ISU Checking"		4.04
			"Walmart"		"Expenses:Consumables:Food"	4.04	
395	09/25/2010	"*"	"Costco"		"Assets:ISU Checking"		6.99
			"Costco"		"Expenses:Consumables:Food"	6.99	
396	09/25/2010	"*"	"WinCo"		"Assets:ISU Checking"		18.94
			"WinCo"		"Expenses:Consumables:Food"	18.94	
397	10/22/2010	"*"	"Walgreens"		"Assets:ISU Checking"		2.24
			"Walgreens"		"Expenses:Consumables:Food"	2.24	
398	08/23/2010	"*"	"Fred Meyer"		"Assets:ISU Checking"		6.77
			"Fred Meyer"		"Expenses:Consumables:Food"	6.77	
399	08/30/2010	"*"	"Walmart"		"Assets:ISU Checking"		10.76
			"Walmart"		"Expenses:Consumables:Food"	10.76	
400	09/16/2010	"*"	"Amazon.com"	"I-Pad stylus"	"Assets:ISU Checking"		8.14
			"Amazon.com"	"I-Pad stylus"	"Expenses:Home:Office Supplies"	8.14	
401	09/15/2010	"*"	"Smith's"		"Assets:ISU Checking"		5.64
			"Smith's"		"Expenses:Consumables:Food"	2.14	
			"Smith's"		"Expenses:Consumables:Other"	3.50	
402	09/15/2010	"*"	"Walmart"		"Assets:ISU Checking"		6.62
			"Walmart"		"Expenses:Consumables:Food"	6.62	
403	09/15/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.25
			"Walmart"		"Expenses:Consumables:Food"	1.25	
404	09/01/2010	"*"	"Walgreens"	"diapers/wipes"	"Assets:ISU Checking"		22.51
			"Walgreens"	"diapers/wipes"	"Expenses:Consumables:Other"	22.51	
405	09/11/2010	"*"	"Walmart"		"Assets:ISU Checking"		1.78
			"Walmart"		"Expenses:Consumables:Food"	1.78	
406	09/15/2010	"*"	"Walmart"		"Assets:ISU Checking"		8.48
			"Walmart"		"Expenses:Consumables:Food"	8.48	
407	10/05/2010	"*"	"WinCo"		"Assets:ISU Checking"		1.78
			"WinCo"		"Expenses:Consumables:Food"	1.78	
408	10/15/2010	"*"	"Walgreens"	"envelopes"	"Assets:ISU Checking"		1.37
			"Walgreens"	"envelopes"	"Expenses:Home:Office Supplies"	1.37	
409	09/25/2010	"*"	"Fred Meyer"		"Assets:ISU Checking"		10.26
			"Fred Meyer"		"Expenses:Consumables:Food"	10.26	
410	10/13/2010	"*"	"Smith's"		"Assets:ISU Checking"		6.64
			"Smith's"		"Expenses:Consumables:Food"	6.64	
411	10/22/2010	"*"	"Walgreens"		"Assets:ISU Checking"		0.56
			"Walgreens"		"Expenses:Consumables:Food"	0.56	
412	10/22/2010	"*"	"Costco"		"Assets:ISU Checking"		5.08
			"Costco"		"Expenses:Consumables:Food"	5.08	
413	10/22/2010	"*"	"Fred Meyer"		"Assets:ISU Checking"		1.78
			"Fred Meyer"		"Expenses:Consumables:Food"	1.78	
414	10/22/2010	"*"	"Fred Meyer"		"Assets:ISU Checking"		5.29
			"Fred Meyer"		"Expenses:Consumables:Food"	5.29	
415	09/11/2010	"*"	"Chase Bank"		"Assets:ISU Checking"		1,064.53
			"Chase Bank"		"Expenses:Medical:Other"	908.45	
			"Chase Bank"		"Expenses:Transportation:Gas"	156.08	
416	10/11/2010	"*"	"Chase Bank"		"Assets:ISU Checking"		1,240.44
			"Chase Bank"		"Expenses:Medical:Other"	1,067.85	
			"Chase Bank"		"Expenses:Transportation:Gas"	172.59	
417	08/24/2010	"*"		"Deposit"	"Assets:ISU Checking"	17.20	
			"Farmer's Insurance"	"credit on overpayment"	"Expenses:Transportation:Car Insurance"		17.20
418	10/21/2010	"*"	"Apple Computer"	"drawing app"	"Assets:ISU Checking"		1.05
			"Apple Computer"	"drawing app"	"Expenses:Recreation"	1.05	
419	10/12/2010	"*"	"Blue Cross of Idaho"		"Assets:ISU Checking"		115.42
			"Blue Cross of Idaho"		"Expenses:Medical:Insurance Payment"	115.42	
420	09/28/2010	"*"	"Apple Computer"	"Spreadsheet and Pages apps"	"Assets:ISU Checking"		21.18
			"Apple Computer"	"Spreadsheet and Pages apps"	"Expenses:Home:Office Supplies"	21.18	
421	10/13/2010	"*"	"Gary Carlsen"	"Rent payment: October"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"Rent payment: October"	"Expenses:Housing:Rent"	425.00	
422	09/25/2010	"*"	"Brett Carlsen"	"October phones"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"October phones"	"Expenses:Housing:Utilities"	40.00	
423	10/25/2010	"*"	"Brett Carlsen"	"November phones"	"Assets:ISU Checking"		40.00
			"Brett Carlsen"	"November phones"	"Expenses:Housing:Utilities"	40.00	
424	10/25/2010	"*"	"Gary Carlsen"	"Rent payment: November"	"Assets:ISU Checking"		425.00
			"Gary Carlsen"	"Rent payment: November"	"Expenses:Housing:Rent"	425.00	
425	10/22/2010	"*"	"Five Guys And Fries"		"Assets:ISU Checking"		10.36
			"Five Guys And Fries"		"Expenses:Consumables:Food"	10.36	
426	08/31/2010			"Interest"	"Assets:ISU Savings"	0.30	
				"Interest"	"Income:Interest Received"		0.30
427	08/31/2010	"*"	"NCEES"	"FE Exam Fee"	"Assets:ISU Checking"		125.00
			"NCEES"	"FE Exam Fee"	"Expenses:Education:Other"	125.00	
428	08/25/2010	"*"	"Amazon.com"	"Textbook: English"	"Assets:ISU Checking"		4.00
			"Amazon.com"	"Textbook English"	"Expenses:Education:Books and Fees"	4.00	
429	08/26/2010	"*"	"Amazon.com"	"Textbook: English"	"Assets:ISU Checking"		4.00
			"Amazon.com"	"Textbook: English"	"Expenses:Education:Books and Fees"	4.00	
430	08/25/2010	"*"	"half.com"	"Textbook: English"	"Assets:ISU Checking"		4.99
			"half.com"	"Textbook: English"	"Expenses:Education:Books and Fees"	4.99	
431	08/30/2010	"*"	"Walgreens"		"Assets:ISU Checking"		8.47
			"Walgreens"		"Expenses:Consumables:Other"	8.47	
432	08/19/2010		"Robert Carlsen"		"Income:Job Income"		500.08
			"Robert Carlsen"		"Assets:ISU Checking"	461.82	
			"Big Brother"		"Expenses:Taxes:Federal"	0.00	
			"Big Brother"		"Expenses:Taxes:State"	0.00	
			"Big Brother"		"Expenses:Taxes:Medicare"	7.25	
			"Big Brother"		"Expenses:Taxes:Social Security"	31.01	
			"Church of Jesus Christ of Latter Day Sain"	"Tithing"	"Liabilities:Accounts Payable"		46.19
			"Church of Jesus Christ of Latter Day Sain"		"Expenses:Donations:Tithing"	46.19	
433	08/31/2010	"*"		"Interest"	"Assets:ISU Checking"	56.43	
				"Interest"	"Income:Interest Received"		56.43
434	09/30/2010			"Interest"	"Assets:ISU Savings"	0.29	
				"Interest"	"Income:Interest Received"		0.29
435	09/09/2010	"*"	"Blue Cross of Idaho"		"Assets:ISU Checking"		115.42
			"Blue Cross of Idaho"		"Expenses:Medical:Insurance Payment"	115.42	
436	09/10/2010	"*"	"Apple Computer"	"I-Pad"	"Assets:ISU Checking"		634.94
